,Country Code,year,LE,GNIPPPconst
6193,FIN,2023,81.68536585365854,65589.14250801125
6194,FJI,2023,67.316,14217.329430790072
6195,FRA,2023,82.92926829268293,63808.11572196732
6197,FSM,2023,67.198,4797.4478745461065
6198,GAB,2023,68.337,19869.25836453645
6199,GBR,2023,81.2380975609756,61388.80187965329
6200,GEO,2023,74.496,23812.225179882287
6201,GHA,2023,65.498,7278.531431983042
6203,GIN,2023,60.74,4076.801198112142
6204,GMB,2023,65.86,3345.8595691576925
6205,GNB,2023,64.085,3098.7807086660473
6206,GNQ,2023,63.707,12611.316837594379
6207,GRC,2023,81.53658536585367,42590.2185772473
6208,GRD,2023,75.205,17501.419284824853
6210,GTM,2023,72.602,13887.890950134546
6212,GUY,2023,70.18,44937.46775191793
6213,HIC,2023,80.14988880096614,66473.54939598955
6214,HKG,2023,85.24731707317075,79857.94670140375
6215,HND,2023,72.884,6835.848473602178
6216,HPC,2023,64.71590541774813,3442.477711455086
6217,HRV,2023,78.47317073170733,49199.57809539881
6218,HTI,2023,64.936,3387.0393792396335
6219,HUN,2023,76.77073170731708,46492.0055825112
6220,IBD,2023,74.52063287793725,20106.65780506265
6221,IBT,2023,72.00045161792012,16057.703815784982
6222,IDA,2023,65.45352231354079,5551.531308686365
6224,IDN,2023,71.146,15452.723733248296
6225,IDX,2023,67.05383189031149,4591.115895758222
6227,IND,2023,72.003,10480.261665853941
6229,IRL,2023,82.86097560975611,101672.95109231191
6230,IRN,2023,77.654,19436.87035867607
6231,IRQ,2023,72.324,15143.87515763374
6232,ISL,2023,82.60731707317075,85551.05544523208
6233,ISR,2023,83.19512195121952,56478.10952738185
6234,ITA,2023,83.7,61481.45645233766
6235,JAM,2023,71.479,12848.10074556554
6236,JOR,2023,77.814,10634.68595366122
6237,JPN,2023,84.04121951219513,55263.305129964596
6238,KAZ,2023,74.402,35620.53572087882
6239,KEN,2023,63.646,6393.165515221314
6240,KGZ,2023,72.2487804878049,7412.36581474935
6241,KHM,2023,70.668,7474.135529872261
6242,KIR,2023,66.473,6084.316939606758
6243,KNA,2023,72.145,34405.731323461565
6244,KOR,2023,83.42926829268293,59978.39338434682
6245,KWT,2023,83.1878048780488,65249.40907483525
6246,LAC,2023,75.49860133018667,21073.72914108732
